Source_Name,Signif_Avg,Pivot_Energy,Flux_Density,Flux1000,Energy_Flux100,Signif_Curve,Spectral_Index,PowerLaw_Index,Flux100_300,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_100000,Variability_Index,CLASS1
3FGL J0132.5-0802,4.5254426,4369.004,1.3672005E-14,2.332908E-10,3.0020537E-12,1.681286,1.7528943,1.7528943,1.1749251E-12,9.864276E-13,1.5748403E-10,6.4508156E-11,3.758733E-11,32.906197,bcu
3FGL J0133.2-5159,4.5070915,684.4162,8.3415577E-13,1.8920514E-10,3.2920496E-12,0.7215805,2.6276467,2.6276467,8.839866E-09,8.377732E-10,2.090289E-10,7.599894E-12,1.6898635E-11,47.947124,bcu
3FGL J0133.3+4324,4.999281,1255.7338,2.5022234E-13,3.2407996E-10,3.9354865E-12,1.616951,2.3010225,2.3010225,2.6849132E-09,1.6735082E-09,1.956369E-10,5.5804056E-11,1.0059809E-11,52.49671,bcu
3FGL J0134.5+2638,11.966151,2183.8552,1.7825353E-13,8.431027E-10,9.440406E-12,3.0357418,1.9910654,1.9910654,9.03815E-10,1.571999E-09,6.6757244E-10,2.4800528E-10,4.09594E-11,58.011723,bcu
3FGL J0135.0+6927,4.891015,864.9546,9.577855E-13,4.2440906E-10,6.7084246E-12,1.1212059,2.5568311,2.5568311,5.080754E-09,3.3493996E-09,2.3766672E-10,4.8678183E-11,1.11599965E-11,36.712486,bcu
3FGL J0137.8+5813,13.477082,2651.6235,1.657556E-13,1.1569062E-09,1.2851066E-11,0.47362527,2.0572364,2.0572364,7.717453E-09,3.243868E-09,6.809938E-10,2.4524854E-10,9.481604E-11,47.357716,bcu
3FGL J0139.9+8735,5.782749,4739.778,1.4677677E-14,3.0727068E-10,3.5745833E-12,1.2679547,1.8912491,1.8912491,5.329935E-09,1.06428845E-10,2.6570965E-10,6.398652E-11,4.545505E-11,42.032043,bcu
3FGL J0145.6+8600,5.0393286,810.0965,6.808454E-13,2.6358574E-10,3.9715674E-12,1.2622571,2.5188813,2.5188813,4.796318E-09,0.000000001,2.9297847E-10,5.065469E-11,8.6665675E-12,34.799686,bcu
3FGL J0146.4-6746,6.9324074,1021.56537,4.2003282E-13,3.1741948E-10,4.1565458E-12,0.46536022,2.390704,2.390704,5.916394E-09,1.4062314E-09,2.8302805E-10,3.3424947E-11,1.6101903E-11,41.259457,bcu
3FGL J0147.0-5204,7.1898727,1461.9944,1.8327217E-13,3.509586E-10,4.0178082E-12,0.3941552,2.1995776,2.1995776,1.6192909E-09,1.1722407E-09,3.0052552E-10,4.5869933E-11,3.5552835E-11,49.567436,bcu
3FGL J0148.3+5200,9.891034,5169.5464,2.3028773E-14,5.3208454E-10,6.742199E-12,1.421619,1.770252,1.770252,6.708611E-14,5.291217E-10,4.1217094E-10,9.87174E-11,1.0743962E-10,60.169937,bcu
3FGL J0150.5-5447,4.559067,2183.121,4.3963632E-14,2.0435262E-10,2.281532E-12,0.14433295,2.1181767,2.1181767,6.539429E-09,2.1783395E-10,7.991256E-11,8.0250036E-11,1.1141462E-11,43.944576,bcu
3FGL J0151.0-3609,5.345292,810.5427,5.8035716E-13,2.370822E-10,3.331609E-12,0.04449672,2.4591627,2.4591627,6.210829E-09,9.162446E-10,1.8582436E-10,3.5969738E-11,1.7245769E-11,33.81843,bcu
3FGL J0151.0+0537,4.414494,1287.1068,1.948702E-13,2.5964558E-10,3.3034068E-12,0.62013084,2.3591862,2.3591862,6.8264088E-09,5.4905025E-10,1.501428E-10,5.1256756E-11,1.5735977E-11,39.784008,bcu
3FGL J0152.2+3707,5.6001124,965.483,4.611109E-13,3.0091749E-10,4.0012832E-12,0.86433005,2.4064765,2.4064765,3.6425574E-09,1.2939914E-09,2.7803065E-10,5.4370584E-11,1.0565188E-11,48.186256,bcu
3FGL J0153.4+7114,7.0563445,14309.396,2.3189594E-15,2.4517183E-10,3.872361E-12,0.1254683,1.5670155,1.5670155,2.8744082E-10,6.559932E-10,1.3115649E-10,8.2575384E-11,4.8511587E-11,36.627163,bcu
3FGL J0156.3+3913,11.676857,650.04205,2.4885812E-12,5.678258E-10,8.31565E-12,0.045487247,2.4952416,2.4952416,1.46264005E-08,2.857394E-09,3.8663053E-10,1.216337E-10,5.931329E-16,120.27109,bcu
3FGL J0156.9-4742,4.614796,3621.6472,1.3463772E-14,1.7539879E-10,1.9569804E-12,0.241625,2.0091054,2.0091054,7.9263734E-10,8.193789E-10,7.59398E-12,3.3446627E-11,3.10876E-11,31.205185,bcu
3FGL J0200.9-6635,6.940146,1220.3582,2.862208E-13,3.4151387E-10,4.241998E-12,0.37765816,2.3306115,2.3306115,5.9493415E-09,1.4140084E-09,2.9893227E-10,4.7838632E-11,1.7194572E-11,68.8881,bcu
3FGL J0203.1-0227,5.042882,1146.8354,2.6535984E-13,2.7696215E-10,3.3921368E-12,0.2501841,2.3125584,2.3125584,3.8995354E-09,9.122133E-10,2.3210793E-10,5.751799E-11,2.7639798E-12,47.286785,bcu
3FGL J0204.2+2420,5.145605,5134.732,1.07193925E-14,2.4737334E-10,3.0768725E-12,0.81499225,1.792368,1.792368,1.8164792E-10,3.700934E-10,1.5521184E-10,4.0116285E-11,4.6955915E-11,37.543396,bcu
3FGL J0205.0+1510,12.274004,609.204,3.5998025E-12,6.711375E-10,1.0253171E-11,0.3357588,2.530061,2.530061,1.8453806E-08,3.3911647E-09,5.9256344E-10,8.2649186E-11,1.44886195E-11,107.05515,bcu
